name,createdAt,pullRequests,releases,url
freeCodeCamp,2014-12-24T17:49:19Z,37434,0,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,2013-10-11T06:50:37Z,10097,0,https://github.com/EbookFoundation/free-programming-books
awesome,2014-07-11T13:42:37Z,2024,0,https://github.com/sindresorhus/awesome
public-apis,2016-03-20T23:49:42Z,2921,0,https://github.com/public-apis/public-apis
coding-interview-university,2016-06-06T02:34:12Z,993,0,https://github.com/jwasham/coding-interview-university
build-your-own-x,2018-05-09T12:03:18Z,264,0,https://github.com/codecrafters-io/build-your-own-x
developer-roadmap,2017-03-15T13:45:52Z,4373,1,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,2017-02-26T16:15:28Z,318,0,https://github.com/donnemartin/system-design-primer
996.ICU,2019-03-26T07:31:14Z,1984,0,https://github.com/996icu/996.ICU
react,2013-05-24T16:15:54Z,16047,101,https://github.com/facebook/react
awesome-python,2014-06-27T21:00:06Z,1532,0,https://github.com/vinta/awesome-python
vue,2013-07-29T03:24:51Z,2300,249,https://github.com/vuejs/vue
project-based-learning,2017-04-12T05:07:46Z,344,0,https://github.com/practical-tutorials/project-based-learning
awesome-selfhosted,2015-06-01T02:33:17Z,3036,1,https://github.com/awesome-selfhosted/awesome-selfhosted
Python,2016-07-16T09:44:01Z,9644,0,https://github.com/TheAlgorithms/Python
javascript-algorithms,2018-03-24T07:47:04Z,536,0,https://github.com/trekhleb/javascript-algorithms
tensorflow,2015-11-07T01:19:20Z,33393,210,https://github.com/tensorflow/tensorflow
linux,2011-09-04T22:48:12Z,532,0,https://github.com/torvalds/linux
You-Dont-Know-JS,2013-11-16T02:37:24Z,845,0,https://github.com/getify/You-Dont-Know-JS
CS-Notes,2018-02-13T14:56:24Z,552,0,https://github.com/CyC2018/CS-Notes
ohmyzsh,2009-08-28T18:15:37Z,7072,0,https://github.com/ohmyzsh/ohmyzsh
computer-science,2014-05-04T00:18:39Z,440,0,https://github.com/ossu/computer-science
bootstrap,2011-07-29T21:19:00Z,15206,89,https://github.com/twbs/bootstrap
AutoGPT,2023-03-16T09:21:07Z,4380,21,https://github.com/Significant-Gravitas/AutoGPT
flutter,2015-03-06T22:54:58Z,56143,7,https://github.com/flutter/flutter
vscode,2015-09-03T20:23:38Z,32876,144,https://github.com/microsoft/vscode
gitignore,2010-11-08T20:17:14Z,3953,0,https://github.com/github/gitignore
Python-100-Days,2018-03-01T16:05:52Z,152,0,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,2015-05-20T15:11:03Z,464,0,https://github.com/jlevy/the-art-of-command-line
JavaGuide,2018-05-07T13:27:00Z,1360,0,https://github.com/Snailclimb/JavaGuide
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,213,0,https://github.com/trimstray/the-book-of-secret-knowledge
javascript,2012-11-01T23:13:50Z,1531,0,https://github.com/airbnb/javascript
stable-diffusion-webui,2022-08-22T14:05:26Z,3076,26,https://github.com/AUTOMATIC1111/stable-diffusion-webui
transformers,2018-10-29T13:56:00Z,17344,167,https://github.com/huggingface/transformers
youtube-dl,2010-10-31T14:35:07Z,4449,341,https://github.com/ytdl-org/youtube-dl
awesome-go,2014-07-06T13:42:15Z,4540,0,https://github.com/avelino/awesome-go
next.js,2016-10-05T23:32:51Z,23789,1000,https://github.com/vercel/next.js
