name,createdAt,pullRequests,releases,url
freeCodeCamp,2014-12-24T17:49:19Z,37317,0,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,2013-10-11T06:50:37Z,9988,0,https://github.com/EbookFoundation/free-programming-books
awesome,2014-07-11T13:42:37Z,2024,0,https://github.com/sindresorhus/awesome
public-apis,2016-03-20T23:49:42Z,2918,0,https://github.com/public-apis/public-apis
coding-interview-university,2016-06-06T02:34:12Z,993,0,https://github.com/jwasham/coding-interview-university
build-your-own-x,2018-05-09T12:03:18Z,263,0,https://github.com/codecrafters-io/build-your-own-x
developer-roadmap,2017-03-15T13:45:52Z,4299,1,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,2017-02-26T16:15:28Z,317,0,https://github.com/donnemartin/system-design-primer
996.ICU,2019-03-26T07:31:14Z,1984,0,https://github.com/996icu/996.ICU
react,2013-05-24T16:15:54Z,15996,101,https://github.com/facebook/react
awesome-python,2014-06-27T21:00:06Z,1531,0,https://github.com/vinta/awesome-python
vue,2013-07-29T03:24:51Z,2298,249,https://github.com/vuejs/vue
project-based-learning,2017-04-12T05:07:46Z,341,0,https://github.com/practical-tutorials/project-based-learning
awesome-selfhosted,2015-06-01T02:33:17Z,3036,1,https://github.com/awesome-selfhosted/awesome-selfhosted
javascript-algorithms,2018-03-24T07:47:04Z,535,0,https://github.com/trekhleb/javascript-algorithms
tensorflow,2015-11-07T01:19:20Z,33099,209,https://github.com/tensorflow/tensorflow
Python,2016-07-16T09:44:01Z,9510,0,https://github.com/TheAlgorithms/Python
linux,2011-09-04T22:48:12Z,529,0,https://github.com/torvalds/linux
You-Dont-Know-JS,2013-11-16T02:37:24Z,845,0,https://github.com/getify/You-Dont-Know-JS
CS-Notes,2018-02-13T14:56:24Z,552,0,https://github.com/CyC2018/CS-Notes
ohmyzsh,2009-08-28T18:15:37Z,7059,0,https://github.com/ohmyzsh/ohmyzsh
computer-science,2014-05-04T00:18:39Z,439,0,https://github.com/ossu/computer-science
bootstrap,2011-07-29T21:19:00Z,15181,89,https://github.com/twbs/bootstrap
AutoGPT,2023-03-16T09:21:07Z,4350,21,https://github.com/Significant-Gravitas/AutoGPT
flutter,2015-03-06T22:54:58Z,56002,7,https://github.com/flutter/flutter
vscode,2015-09-03T20:23:38Z,32684,142,https://github.com/microsoft/vscode
gitignore,2010-11-08T20:17:14Z,3952,0,https://github.com/github/gitignore
Python-100-Days,2018-03-01T16:05:52Z,152,0,https://github.com/jackfrued/Python-100-Days
the-art-of-command-line,2015-05-20T15:11:03Z,464,0,https://github.com/jlevy/the-art-of-command-line
JavaGuide,2018-05-07T13:27:00Z,1356,0,https://github.com/Snailclimb/JavaGuide
the-book-of-secret-knowledge,2018-06-23T10:43:14Z,213,0,https://github.com/trimstray/the-book-of-secret-knowledge
javascript,2012-11-01T23:13:50Z,1528,0,https://github.com/airbnb/javascript
stable-diffusion-webui,2022-08-22T14:05:26Z,3072,26,https://github.com/AUTOMATIC1111/stable-diffusion-webui
transformers,2018-10-29T13:56:00Z,17187,166,https://github.com/huggingface/transformers
youtube-dl,2010-10-31T14:35:07Z,4448,341,https://github.com/ytdl-org/youtube-dl
awesome-go,2014-07-06T13:42:15Z,4531,0,https://github.com/avelino/awesome-go
next.js,2016-10-05T23:32:51Z,23586,1000,https://github.com/vercel/next.js
fucking-algorithm,2020-02-19T09:01:23Z,463,1,https://github.com/labuladong/fucking-algorithm
go,2014-08-19T04:33:40Z,3715,0,https://github.com/golang/go
30-seconds-of-code,2017-11-29T17:35:03Z,1614,10,https://github.com/Chalarangelo/30-seconds-of-code
react-native,2015-01-09T18:10:16Z,18574,343,https://github.com/facebook/react-native
tech-interview-handbook,2016-07-05T05:00:48Z,530,0,https://github.com/yangshun/tech-interview-handbook
electron,2013-04-12T01:47:36Z,23120,1000,https://github.com/electron/electron
free-programming-books-zh_CN,2013-11-04T01:59:19Z,434,3,https://github.com/justjavac/free-programming-books-zh_CN
awesome-chatgpt-prompts,2022-12-05T13:54:13Z,301,0,https://github.com/f/awesome-chatgpt-prompts
kubernetes,2014-06-06T22:56:04Z,80677,694,https://github.com/kubernetes/kubernetes
PowerToys,2019-05-01T17:44:02Z,5461,104,https://github.com/microsoft/PowerToys
scrcpy,2017-11-21T18:00:27Z,419,40,https://github.com/Genymobile/scrcpy
d3,2010-09-27T17:22:42Z,1175,194,https://github.com/d3/d3
node,2014-11-26T19:57:11Z,34391,407,https://github.com/nodejs/node
axios,2014-08-18T22:30:27Z,1530,84,https://github.com/axios/axios
create-react-app,2016-07-17T14:55:11Z,3805,83,https://github.com/facebook/create-react-app
three.js,2010-03-23T18:58:01Z,16652,161,https://github.com/mrdoob/three.js
TypeScript,2014-06-17T15:28:39Z,17669,200,https://github.com/microsoft/TypeScript
nodebestpractices,2017-09-15T08:33:19Z,921,0,https://github.com/goldbergyoni/nodebestpractices
rust,2010-06-16T20:39:03Z,75525,130,https://github.com/rust-lang/rust
hello-algo,2022-11-04T11:08:34Z,1056,8,https://github.com/krahets/hello-algo
angular,2014-09-18T16:12:01Z,28182,367,https://github.com/angular/angular
terminal,2017-08-11T18:38:22Z,4397,121,https://github.com/microsoft/terminal
deno,2018-05-15T01:34:26Z,13823,292,https://github.com/denoland/deno
material-ui,2014-08-18T19:11:54Z,23179,494,https://github.com/mui/material-ui
langchain,2022-10-17T02:58:36Z,15075,634,https://github.com/langchain-ai/langchain
ant-design,2015-04-24T15:37:24Z,18147,671,https://github.com/ant-design/ant-design
ollama,2023-06-26T19:39:32Z,2111,92,https://github.com/ollama/ollama
clean-code-javascript,2016-11-25T22:25:41Z,252,0,https://github.com/ryanmcdermott/clean-code-javascript
godot,2014-01-04T16:05:36Z,41102,58,https://github.com/godotengine/godot
java-design-patterns,2014-08-09T16:45:18Z,2057,0,https://github.com/iluwatar/java-design-patterns
free-for-dev,2015-03-18T21:06:26Z,3365,0,https://github.com/ripienaar/free-for-dev
puppeteer,2017-05-09T22:16:13Z,6055,446,https://github.com/puppeteer/puppeteer
vue-element-admin,2017-04-17T03:35:49Z,476,49,https://github.com/PanJiaChen/vue-element-admin
papers-we-love,2013-12-15T14:31:41Z,516,0,https://github.com/papers-we-love/papers-we-love
frp,2015-12-21T15:24:59Z,890,99,https://github.com/fatedier/frp
iptv,2018-11-14T22:00:57Z,7101,0,https://github.com/iptv-org/iptv
thefuck,2015-04-08T15:08:04Z,609,17,https://github.com/nvbn/thefuck
storybook,2016-03-18T04:23:44Z,12689,1000,https://github.com/storybookjs/storybook
yt-dlp,2020-10-26T04:22:55Z,2830,92,https://github.com/yt-dlp/yt-dlp
Awesome-Hacking,2016-03-30T15:47:10Z,108,0,https://github.com/Hack-with-Github/Awesome-Hacking
Web-Dev-For-Beginners,2020-11-10T02:44:00Z,811,0,https://github.com/microsoft/Web-Dev-For-Beginners
every-programmer-should-know,2017-08-24T13:18:26Z,144,0,https://github.com/mtdvio/every-programmer-should-know
pytorch,2016-08-13T05:26:41Z,90387,55,https://github.com/pytorch/pytorch
tauri,2019-07-13T09:09:37Z,4916,1000,https://github.com/tauri-apps/tauri
tailwindcss,2017-10-06T14:59:14Z,2856,235,https://github.com/tailwindlabs/tailwindcss
neovim,2014-01-31T13:39:22Z,18075,39,https://github.com/neovim/neovim
excalidraw,2020-01-02T01:04:43Z,4336,13,https://github.com/excalidraw/excalidraw
animate.css,2011-10-12T10:07:38Z,887,22,https://github.com/animate-css/animate.css
realworld,2016-02-26T20:49:53Z,831,0,https://github.com/gothinkster/realworld
app-ideas,2019-02-25T18:36:56Z,336,0,https://github.com/florinpop17/app-ideas
django,2012-04-28T02:47:18Z,18321,0,https://github.com/django/django
nvm,2010-04-15T17:47:47Z,1016,68,https://github.com/nvm-sh/nvm
bitcoin,2010-12-19T15:16:43Z,21080,51,https://github.com/bitcoin/bitcoin
svelte,2016-11-20T18:13:05Z,5848,284,https://github.com/sveltejs/svelte
laravel,2011-06-08T03:06:08Z,4797,172,https://github.com/laravel/laravel
opencv,2012-07-19T09:40:17Z,15172,63,https://github.com/opencv/opencv
gin,2014-06-16T23:57:25Z,1606,26,https://github.com/gin-gonic/gin
mall,2018-04-04T01:11:44Z,117,3,https://github.com/macrozheng/mall
models,2016-02-05T01:15:20Z,3639,46,https://github.com/tensorflow/models
FiraCode,2014-11-11T19:32:38Z,184,29,https://github.com/tonsky/FiraCode
fastapi,2018-12-08T08:21:47Z,3311,192,https://github.com/fastapi/fastapi
advanced-java,2018-10-06T11:38:30Z,126,1,https://github.com/doocs/advanced-java
awesome-mac,2016-07-17T15:33:47Z,996,9,https://github.com/jaywcjlove/awesome-mac
ChatGPT-Next-Web,2023-03-10T18:27:54Z,2082,70,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web
hugo,2013-07-04T15:26:26Z,5305,290,https://github.com/gohugoio/hugo
spring-boot,2012-10-19T15:02:57Z,6410,286,https://github.com/spring-projects/spring-boot
rustdesk,2020-09-28T15:36:08Z,3442,21,https://github.com/rustdesk/rustdesk
Font-Awesome,2012-02-17T14:19:43Z,669,56,https://github.com/FortAwesome/Font-Awesome
bun,2021-04-14T00:48:17Z,4653,159,https://github.com/oven-sh/bun
json-server,2013-11-27T13:21:13Z,316,38,https://github.com/typicode/json-server
supabase,2019-10-12T05:56:49Z,11531,16,https://github.com/supabase/supabase
awesome-vue,2015-10-20T00:16:14Z,3887,0,https://github.com/vuejs/awesome-vue
core,2013-09-17T07:29:48Z,73904,1000,https://github.com/home-assistant/core
netdata,2013-06-17T18:39:10Z,10194,93,https://github.com/netdata/netdata
mermaid,2014-11-01T23:52:32Z,2566,137,https://github.com/mermaid-js/mermaid
ui,2023-01-04T12:43:27Z,830,26,https://github.com/shadcn-ui/ui
awesome-interview-questions,2015-11-28T09:48:17Z,209,0,https://github.com/DopplerHQ/awesome-interview-questions
elasticsearch,2010-02-08T13:20:56Z,76528,156,https://github.com/elastic/elasticsearch
gpt4all,2023-03-27T18:49:32Z,969,25,https://github.com/nomic-ai/gpt4all
ML-For-Beginners,2021-03-03T01:34:05Z,497,0,https://github.com/microsoft/ML-For-Beginners
Front-End-Checklist,2017-10-16T10:12:36Z,301,1,https://github.com/thedaviddias/Front-End-Checklist
whisper,2022-09-16T20:02:54Z,180,12,https://github.com/openai/whisper
github-readme-stats,2020-07-09T10:34:22Z,2145,0,https://github.com/anuraghazra/github-readme-stats
moby,2013-01-18T18:10:57Z,24935,194,https://github.com/moby/moby
node,2023-02-01T13:55:02Z,152,35,https://github.com/base-org/node
awesome-for-beginners,2015-10-24T19:53:36Z,1148,0,https://github.com/MunGell/awesome-for-beginners
code-server,2019-02-27T16:50:41Z,1886,163,https://github.com/coder/code-server
flask,2010-04-06T11:11:59Z,2579,34,https://github.com/pallets/flask
v2rayN,2019-07-30T03:47:24Z,295,190,https://github.com/2dust/v2rayN
reveal.js,2011-06-07T18:54:22Z,982,47,https://github.com/hakimel/reveal.js
vite,2020-04-21T05:03:57Z,5959,476,https://github.com/vitejs/vite
swift,2015-10-23T21:15:07Z,56584,55,https://github.com/swiftlang/swift
nest,2017-02-04T20:12:52Z,8237,98,https://github.com/nestjs/nest
cs-video-courses,2016-10-21T17:02:11Z,199,0,https://github.com/Developer-Y/cs-video-courses
HowToCook,2020-02-29T10:43:49Z,677,3,https://github.com/Anduin2017/HowToCook
redis,2009-03-21T22:32:25Z,6232,73,https://github.com/redis/redis
devops-exercises,2019-10-03T17:31:21Z,368,0,https://github.com/bregman-arie/devops-exercises
playwright,2019-11-15T18:32:42Z,15083,134,https://github.com/microsoft/playwright
llama.cpp,2023-03-10T18:58:00Z,4030,1000,https://github.com/ggerganov/llama.cpp
awesome-machine-learning,2014-07-15T19:11:19Z,897,0,https://github.com/josephmisiti/awesome-machine-learning
protobuf,2014-08-26T15:52:15Z,12003,171,https://github.com/protocolbuffers/protobuf
express,2009-06-26T18:56:01Z,1506,156,https://github.com/expressjs/express
awesome-react,2014-08-06T05:31:44Z,1298,0,https://github.com/enaqx/awesome-react
webpack,2012-03-10T10:08:14Z,6872,416,https://github.com/webpack/webpack
Chart.js,2013-03-17T23:56:36Z,3793,110,https://github.com/chartjs/Chart.js
