Name,Owner,Stars,URL
freeCodeCamp,freeCodeCamp,403769,https://github.com/freeCodeCamp/freeCodeCamp
free-programming-books,EbookFoundation,335975,https://github.com/EbookFoundation/free-programming-books
awesome,sindresorhus,328012,https://github.com/sindresorhus/awesome
public-apis,public-apis,314072,https://github.com/public-apis/public-apis
coding-interview-university,jwasham,305425,https://github.com/jwasham/coding-interview-university
build-your-own-x,codecrafters-io,303804,https://github.com/codecrafters-io/build-your-own-x
developer-roadmap,kamranahmedse,293998,https://github.com/kamranahmedse/developer-roadmap
system-design-primer,donnemartin,272122,https://github.com/donnemartin/system-design-primer
react,facebook,228189,https://github.com/facebook/react
awesome-python,vinta,221097,https://github.com/vinta/awesome-python
vue,vuejs,207780,https://github.com/vuejs/vue
project-based-learning,practical-tutorials,200177,https://github.com/practical-tutorials/project-based-learning
awesome-selfhosted,awesome-selfhosted,198092,https://github.com/awesome-selfhosted/awesome-selfhosted
Python,TheAlgorithms,190868,https://github.com/TheAlgorithms/Python
javascript-algorithms,trekhleb,187773,https://github.com/trekhleb/javascript-algorithms
tensorflow,tensorflow,185897,https://github.com/tensorflow/tensorflow
linux,torvalds,180040,https://github.com/torvalds/linux
You-Dont-Know-JS,getify,179367,https://github.com/getify/You-Dont-Know-JS
CS-Notes,CyC2018,175076,https://github.com/CyC2018/CS-Notes
ohmyzsh,ohmyzsh,173066,https://github.com/ohmyzsh/ohmyzsh
computer-science,ossu,170877,https://github.com/ossu/computer-science
bootstrap,twbs,170401,https://github.com/twbs/bootstrap
flutter,flutter,165374,https://github.com/flutter/flutter
vscode,microsoft,163309,https://github.com/microsoft/vscode
gitignore,github,161628,https://github.com/github/gitignore
the-art-of-command-line,jlevy,153168,https://github.com/jlevy/the-art-of-command-line
JavaGuide,Snailclimb,146288,https://github.com/Snailclimb/JavaGuide
the-book-of-secret-knowledge,trimstray,145594,https://github.com/trimstray/the-book-of-secret-knowledge
javascript,airbnb,144892,https://github.com/airbnb/javascript
stable-diffusion-webui,AUTOMATIC1111,140908,https://github.com/AUTOMATIC1111/stable-diffusion-webui
transformers,huggingface,133164,https://github.com/huggingface/transformers
youtube-dl,ytdl-org,131768,https://github.com/ytdl-org/youtube-dl
next.js,vercel,125615,https://github.com/vercel/next.js
fucking-algorithm,labuladong,125345,https://github.com/labuladong/fucking-algorithm
go,golang,123383,https://github.com/golang/go
30-seconds-of-code,Chalarangelo,121435,https://github.com/Chalarangelo/30-seconds-of-code
react-native,facebook,118620,https://github.com/facebook/react-native
tech-interview-handbook,yangshun,117839,https://github.com/yangshun/tech-interview-handbook
electron,electron,113885,https://github.com/electron/electron
awesome-chatgpt-prompts,f,111499,https://github.com/f/awesome-chatgpt-prompts
free-programming-books-zh_CN,justjavac,111422,https://github.com/justjavac/free-programming-books-zh_CN
PowerToys,microsoft,110364,https://github.com/microsoft/PowerToys
scrcpy,Genymobile,110124,https://github.com/Genymobile/scrcpy
d3,d3,108596,https://github.com/d3/d3
node,nodejs,107093,https://github.com/nodejs/node
axios,axios,105426,https://github.com/axios/axios
create-react-app,facebook,102646,https://github.com/facebook/create-react-app
three.js,mrdoob,102133,https://github.com/mrdoob/three.js
TypeScript,microsoft,100585,https://github.com/microsoft/TypeScript
